# step  MSD_x(Ang2)  MSD_y  MSD_z  MSD_total
# TimeStep c_msd_co2[1] c_msd_co2[2] c_msd_co2[3] c_msd_co2[4]
0 6.74817e-27 2.07956e-28 1.21721e-27 8.17334e-27
500 5.43484 5.3666 5.61016 16.4116
1000 16.0349 16.1021 16.7352 48.8722
1500 31.3106 30.3029 31.5206 93.134
2000 50.3857 47.2786 49.6486 147.313
2500 71.3435 68.6784 69.3388 209.361
3000 92.5805 93.1237 92.6259 278.33
3500 117.558 118.48 119.06 355.098
4000 143.429 141.498 145.635 430.562
4500 171.978 167.205 173.961 513.144
5000 199.57 192.604 203.124 595.299
5500 226.039 219.026 231.652 676.718
6000 253.146 248.472 260.894 762.513
6500 279.916 277.721 293.979 851.615
7000 307.845 307.346 325.289 940.479
7500 338.85 334.846 355.31 1029.01
8000 370.45 360.059 384.511 1115.02
8500 399.561 382.457 414.313 1196.33
9000 425.732 404.629 444.281 1274.64
9500 449.86 427.714 474.379 1351.95
10000 469.844 452.457 507.068 1429.37
10500 490.982 476.966 542.177 1510.12
11000 512.168 503.559 578.986 1594.71
11500 531.985 533.435 610.32 1675.74
12000 550.424 564.563 637.699 1752.69
12500 571.779 592.684 668.923 1833.39
13000 589.937 620.028 704.735 1914.7
13500 611.154 646.704 740.268 1998.13
14000 638.237 676.043 778.164 2092.44
14500 665.752 706.533 818.497 2190.78
15000 700.261 738.68 859.185 2298.13
15500 733.658 775.131 892.407 2401.2
16000 764.555 812.295 924.277 2501.13
16500 788.952 851.023 954.043 2594.02
17000 806.143 888.7 984.647 2679.49
17500 825.801 930.7 1011.29 2767.79
18000 847.033 967.748 1041.31 2856.09
18500 864.983 1004.24 1068.57 2937.8
19000 888.716 1038.9 1096.31 3023.92
19500 911.054 1073.46 1130.06 3114.57
20000 931.182 1116.58 1163.48 3211.24
20500 955.92 1153.96 1189.37 3299.25
21000 979.276 1193.9 1216.16 3389.34
21500 1001.37 1230.3 1236.24 3467.91
22000 1026.98 1269.11 1261.96 3558.05
22500 1053.32 1309.09 1291.21 3653.61
23000 1084.76 1347.57 1320.39 3752.72
23500 1104.66 1384.01 1350.18 3838.85
24000 1118.08 1418.82 1377.9 3914.8
24500 1137.89 1455.39 1409.24 4002.52
25000 1155.52 1490.56 1441.42 4087.5
25500 1173.04 1520.46 1474.97 4168.47
26000 1190.63 1549.45 1509.16 4249.24
26500 1214.98 1584.38 1543.52 4342.87
27000 1238.83 1616.74 1585.41 4440.98
27500 1261.44 1649.94 1627.27 4538.65
28000 1288.09 1683.21 1657.77 4629.07
28500 1312.26 1718.54 1679.23 4710.03
29000 1338.53 1750.19 1693.46 4782.18
29500 1364.02 1780.42 1716.43 4860.87
30000 1385.92 1808.55 1741.71 4936.18
30500 1408.28 1833.41 1765.74 5007.43
31000 1433.07 1859.94 1788.21 5081.22
31500 1461.37 1888.19 1804.13 5153.7
32000 1487.46 1915.5 1822.42 5225.38
32500 1510.91 1947.26 1840.85 5299.02
33000 1532.49 1983.9 1861.23 5377.62
33500 1548.24 2016.22 1884.33 5448.79
34000 1570.41 2049.72 1912.1 5532.22
34500 1594.37 2077.6 1942.32 5614.3
35000 1613.36 2110.21 1963.68 5687.25
35500 1631.97 2146.99 1991.67 5770.62
36000 1656.41 2184.73 2026.42 5867.56
36500 1675.67 2229.78 2060.87 5966.32
37000 1702.35 2271.94 2093.92 6068.2
37500 1725.2 2304.92 2129.33 6159.45
38000 1745.78 2335 2157.6 6238.38
38500 1765.8 2361.49 2179.71 6307.01
39000 1793.77 2393.14 2199.63 6386.54
39500 1827.88 2426.32 2214.2 6468.39
40000 1851.55 2450.78 2236.69 6539.02
40500 1874.53 2476.31 2262.14 6612.98
41000 1894.74 2504.61 2286.86 6686.21
41500 1919.53 2531.73 2312.34 6763.6
42000 1941.89 2559.23 2342.55 6843.68
42500 1962.71 2586.55 2369.67 6918.93
43000 1980.58 2609.22 2401.79 6991.6
43500 1995.04 2632.69 2426.77 7054.5
44000 2017.62 2660.52 2453.91 7132.06
44500 2036.89 2699.77 2478.39 7215.05
45000 2052.59 2734.34 2489.78 7276.71
45500 2068.1 2763.41 2516.62 7348.13
46000 2079.36 2788.64 2539.44 7407.44
46500 2091.66 2804.54 2565.18 7461.38
47000 2104.38 2822.73 2582.87 7509.98
47500 2114.57 2848.83 2604.09 7567.49
48000 2128.43 2872.51 2615.15 7616.09
48500 2148.2 2900.6 2633.6 7682.4
49000 2165.78 2929.07 2657.66 7752.51
49500 2177.24 2951.87 2682.78 7811.89
50000 2190.66 2973.45 2699.72 7863.82
50500 2207.14 2985.38 2718.29 7910.81
51000 2220.87 2991.05 2738.44 7950.36
51500 2243.26 3009.85 2754.56 8007.67
52000 2272.78 3033.38 2777.93 8084.09
52500 2305.4 3044.11 2805.88 8155.4
53000 2326.48 3069.82 2832.21 8228.51
53500 2360.96 3094.86 2852.01 8307.83
54000 2394.46 3126.25 2870.61 8391.32
54500 2424.29 3155.89 2890.12 8470.29
55000 2450.2 3195.98 2907.96 8554.13
55500 2478.49 3236.37 2924.26 8639.12
56000 2506.31 3269.82 2940.13 8716.26
56500 2546.11 3305.76 2965.06 8816.93
57000 2578.43 3345.26 2997.17 8920.86
57500 2596.34 3386.21 3028.29 9010.85
58000 2612.12 3418.91 3069.25 9100.29
58500 2628.85 3450.77 3111.7 9191.32
59000 2646.36 3484.31 3148.31 9278.99
59500 2666.05 3513.08 3187.23 9366.36
60000 2680.94 3541.89 3219.3 9442.14
60500 2700.7 3568.09 3248.86 9517.65
61000 2712.15 3595.31 3288.89 9596.35
61500 2732.23 3624.03 3330.55 9686.81
62000 2749.92 3647.29 3352.41 9749.62
62500 2772.51 3678.21 3371.57 9822.29
63000 2785.91 3711.36 3394.41 9891.68
63500 2800.8 3744.19 3426.73 9971.71
64000 2822.85 3765.26 3459.29 10047.4
64500 2838.55 3789.1 3492.35 10120
65000 2849.67 3809.19 3524.47 10183.3
65500 2856.92 3830.68 3550.98 10238.6
66000 2869.56 3847.5 3571.64 10288.7
66500 2884.95 3863.65 3605.75 10354.3
67000 2906.06 3894.94 3640.02 10441
67500 2932.43 3924.91 3670.23 10527.6
68000 2961.28 3958.58 3695.93 10615.8
68500 2987.13 4000.78 3725.86 10713.8
69000 3016.53 4043.47 3763.62 10823.6
69500 3038.96 4077.06 3803.67 10919.7
70000 3061.96 4115.34 3833.1 11010.4
70500 3087.52 4145.34 3871.76 11104.6
71000 3115.24 4173.11 3912.86 11201.2
71500 3146.48 4199.61 3959.87 11306
72000 3178.58 4229.26 4000.5 11408.3
72500 3191.35 4258.89 4039.67 11489.9
73000 3204.35 4305.05 4086.3 11595.7
73500 3222.32 4344.77 4135.3 11702.4
74000 3240.05 4378.91 4184.27 11803.2
74500 3260.37 4419.72 4229.71 11909.8
75000 3284.38 4455.24 4261.86 12001.5
75500 3304.37 4495.05 4290.4 12089.8
76000 3319.76 4542.64 4322.47 12184.9
76500 3338.06 4585.86 4354.79 12278.7
77000 3349.69 4636.08 4382.02 12367.8
77500 3359.19 4676.11 4409.94 12445.2
78000 3374.8 4714.84 4452.77 12542.4
78500 3395.11 4749.44 4495.31 12639.9
79000 3414.46 4787.85 4530.93 12733.2
79500 3431.64 4832.75 4563.62 12828
80000 3448.87 4874.99 4597.13 12921
80500 3466.96 4910.48 4608.38 12985.8
81000 3482.35 4936.98 4630.06 13049.4
81500 3495.69 4975.45 4666.85 13138
82000 3517.69 4999.99 4710.82 13228.5
82500 3536.68 5023.41 4747.27 13307.4
83000 3558.13 5038.36 4777.06 13373.6
83500 3574.12 5057.52 4805.45 13437.1
84000 3593.79 5078.63 4843.11 13515.5
84500 3611.2 5107.89 4877.91 13597
85000 3624.43 5135.15 4907.32 13666.9
85500 3645.79 5162.14 4936.02 13743.9
86000 3676.39 5184.23 4964.02 13824.6
86500 3693.38 5194.97 5009.98 13898.3
87000 3714.03 5219.09 5055.69 13988.8
87500 3729.91 5234.81 5089.7 14054.4
88000 3744.33 5247.62 5130.54 14122.5
88500 3750.49 5259.24 5180.91 14190.6
89000 3745.03 5275.36 5229.94 14250.3
89500 3740.46 5304.17 5289.25 14333.9
90000 3733.56 5346.42 5339.45 14419.4
90500 3733.86 5369.31 5392.76 14495.9
91000 3738.87 5411.41 5436.84 14587.1
91500 3749.16 5458.07 5478.53 14685.8
92000 3767.04 5498.4 5515.39 14780.8
92500 3770.15 5547.26 5541.41 14858.8
93000 3786.63 5594.47 5564.39 14945.5
93500 3804.65 5645.28 5597.36 15047.3
94000 3832.65 5683.46 5622.23 15138.3
94500 3857.44 5728.22 5658.99 15244.7
95000 3880.53 5760.9 5712.25 15353.7
95500 3906.77 5783.75 5761.26 15451.8
96000 3930.94 5818.24 5795.96 15545.1
96500 3942.35 5861.96 5829.97 15634.3
97000 3954.14 5886.67 5855.44 15696.2
97500 3966.16 5911.76 5886.83 15764.8
98000 3963.01 5951.9 5922.76 15837.7
98500 3964.59 5993.24 5951.69 15909.5
99000 3975.14 6014.03 5988.19 15977.4
99500 4005.17 6041.19 6020.64 16067
100000 4028.13 6059.39 6047.21 16134.7
100500 4052.76 6090.68 6084.02 16227.5
101000 4065.47 6130.44 6117.03 16312.9
101500 4093.99 6163.18 6143.37 16400.5
102000 4124.12 6195.6 6178.31 16498
102500 4157.31 6229.48 6208.44 16595.2
103000 4190.12 6260.89 6244.45 16695.5
103500 4217.18 6270.74 6292.41 16780.3
104000 4249.29 6276.58 6337.63 16863.5
104500 4282.3 6300.98 6379.59 16962.9
105000 4313.73 6316.63 6418.34 17048.7
105500 4342.01 6334.5 6456.79 17133.3
106000 4369.12 6349.01 6491.42 17209.5
106500 4384.65 6361.69 6515.71 17262
107000 4406.16 6377.69 6549.54 17333.4
107500 4426.41 6403.71 6600.57 17430.7
108000 4441.24 6431.12 6641.67 17514
108500 4455.22 6476.68 6684.23 17616.1
109000 4466.19 6512.65 6714 17692.8
109500 4482.92 6553.93 6735.88 17772.7
110000 4497.38 6611.44 6754.07 17862.9
110500 4516.14 6660.62 6782.56 17959.3
111000 4524.4 6692.91 6812.74 18030
111500 4535.66 6739.07 6833.41 18108.1
112000 4552.05 6785.38 6861.49 18198.9
112500 4579.05 6817.87 6899.18 18296.1
113000 4601.37 6862.11 6925.62 18389.1
113500 4622.69 6914.56 6957.16 18494.4
114000 4640.95 6967.1 6970.4 18578.5
114500 4651.64 7022.95 6985.16 18659.7
115000 4674.44 7087.42 6999.17 18761
115500 4698.56 7133.14 7034.13 18865.8
116000 4719.59 7183.77 7078.23 18981.6
116500 4739.65 7231.43 7114.23 19085.3
117000 4772.38 7274.12 7162 19208.5
117500 4804.29 7317.12 7206.35 19327.8
118000 4831.72 7350.64 7244.81 19427.2
118500 4851.82 7385.1 7277.36 19514.3
119000 4888.52 7424.16 7309.49 19622.2
119500 4918.94 7462.09 7348.88 19729.9
120000 4953.17 7505.67 7391.49 19850.3
120500 4984.04 7550.98 7441.84 19976.9
121000 5011.82 7569.78 7489.61 20071.2
121500 5044.41 7592.75 7536 20173.2
122000 5071.79 7612.75 7588.74 20273.3
122500 5104.61 7640.93 7632.63 20378.2
123000 5127.03 7659.25 7673 20459.3
123500 5140.47 7677.29 7698.77 20516.5
124000 5165.99 7703.71 7712.99 20582.7
124500 5194.85 7740.76 7744.63 20680.3
125000 5220.28 7774.99 7781.1 20776.4
125500 5236.22 7793.15 7803.97 20833.3
126000 5250.77 7803.82 7828.73 20883.3
126500 5275.98 7805.81 7859.06 20940.9
127000 5280.55 7815.46 7864.6 20960.6
127500 5291.94 7836.18 7886.33 21014.5
128000 5314.1 7861.18 7925.67 21101
128500 5340.07 7901.51 7955.3 21196.9
129000 5347.56 7942.3 7966.92 21256.8
129500 5369.22 7966.47 7970.6 21306.3
130000 5384.6 7992.78 7984.12 21361.5
130500 5396.98 8027.84 8006.36 21431.2
131000 5411.59 8064.16 8005.6 21481.3
131500 5437.63 8098.27 8014.53 21550.4
132000 5452.48 8154.3 8029.38 21636.2
132500 5475.4 8187.4 8043.08 21705.9
133000 5494.3 8243.43 8032.89 21770.6
133500 5501.79 8277.09 8019.12 21798
134000 5499.27 8308.21 8020.96 21828.4
134500 5507.27 8337.05 8037.51 21881.8
135000 5518.29 8368.47 8067.37 21954.1
135500 5521.48 8427.31 8086.6 22035.4
136000 5534.76 8470.52 8106.72 22112
136500 5532.74 8511.51 8140.33 22184.6
137000 5525.1 8533.94 8170.12 22229.2
137500 5520.3 8567.49 8205.5 22293.3
138000 5528.54 8602.71 8244.61 22375.9
138500 5542.77 8621.32 8276.13 22440.2
139000 5545.03 8637.31 8336.69 22519
139500 5551.55 8655.6 8381.59 22588.7
140000 5575.89 8687.54 8410.8 22674.2
140500 5598.97 8712.68 8432.76 22744.4
141000 5625.11 8722.12 8479.14 22826.4
141500 5655.32 8738.46 8520 22913.8
142000 5674.59 8770.58 8543.73 22988.9
142500 5695.29 8793.82 8579.47 23068.6
143000 5717.15 8816.31 8613.99 23147.4
143500 5742.14 8838.64 8633.14 23213.9
144000 5768.26 8871.44 8644.1 23283.8
144500 5788.15 8894.44 8659.58 23342.2
145000 5810.21 8895.76 8673.12 23379.1
145500 5809.47 8902.3 8680 23391.8
146000 5796.36 8925.05 8687.83 23409.2
146500 5774.16 8939.28 8704.7 23418.1
147000 5758.3 8963.17 8744.39 23465.9
147500 5747.55 8991.21 8778.23 23517
148000 5754.31 9034.23 8809.49 23598
148500 5763.34 9080.72 8848.86 23692.9
149000 5775.49 9116.29 8881 23772.8
149500 5795.39 9155.59 8914.56 23865.5
150000 5811.87 9190.31 8953.26 23955.4
150500 5839.9 9213.67 8971.09 24024.7
151000 5845.99 9223.1 8983.25 24052.3
151500 5841.89 9238.11 9006.15 24086.1
152000 5847.14 9271.15 9020.71 24139
152500 5872.16 9295.99 9027.41 24195.5
153000 5898.96 9322.48 9013.35 24234.8
153500 5908.66 9366.55 9004.1 24279.3
154000 5922.03 9435.01 9004.83 24361.9
154500 5951.02 9484.33 9012.74 24448.1
155000 5966.42 9503.42 9022.8 24492.6
155500 5992.31 9524.59 9023.33 24540.2
156000 6024.12 9562.51 9027.93 24614.6
156500 6057.53 9617.19 9036.72 24711.4
157000 6082.56 9671.79 9018.73 24773.1
157500 6106.02 9716.73 9013.13 24835.9
158000 6135.71 9752.95 9011.74 24900.4
158500 6162.18 9778.94 9031.48 24972.6
159000 6195.64 9809.76 9058.19 25063.6
159500 6225.3 9847.58 9074.73 25147.6
160000 6241.48 9898.75 9091.25 25231.5
160500 6251.9 9956.17 9117.08 25325.1
161000 6281.15 10004.3 9146.12 25431.6
161500 6297.23 10050.2 9184.22 25531.6
162000 6307.65 10086.9 9225.41 25620
162500 6327.79 10116.6 9266.12 25710.5
163000 6335.8 10140.5 9291.74 25768
163500 6357.11 10171.9 9320.81 25849.9
164000 6365.6 10181.8 9353.26 25900.7
164500 6355.61 10209.7 9374.96 25940.2
165000 6356.75 10240 9400.87 25997.6
165500 6363.07 10265.5 9419.37 26047.9
166000 6370.83 10278.7 9436.46 26086
166500 6386.26 10292 9464.72 26142.9
167000 6381.81 10294.4 9500.45 26176.7
167500 6381.45 10311.4 9538.17 26231.1
168000 6384.47 10314.1 9579.25 26277.9
168500 6403.38 10331 9598.43 26332.9
169000 6420.99 10360.4 9635.6 26417
169500 6445.57 10379.4 9658.19 26483.1
170000 6465.9 10400.2 9691.82 26558
170500 6480.73 10424.6 9725.05 26630.4
171000 6486.41 10437.2 9767.59 26691.2
171500 6500.49 10453.3 9818.33 26772.1
172000 6516.72 10487.3 9869.25 26873.3
172500 6540.77 10495.9 9897.88 26934.6
173000 6567.56 10509.5 9913.63 26990.7
173500 6591.38 10536.7 9935.36 27063.5
174000 6599.68 10573.1 9962.29 27135
174500 6605.35 10609.9 9979.22 27194.5
175000 6616.84 10633.2 10026.4 27276.4
175500 6624.72 10660.2 10069.6 27354.5
176000 6626.54 10666.8 10111.9 27405.2
176500 6620.03 10673.2 10158.1 27451.4
177000 6617.04 10690.9 10188.6 27496.5
177500 6616.8 10704.4 10226.6 27547.7
178000 6626.58 10724.9 10260.2 27611.6
178500 6624.36 10745.6 10304.9 27674.9
179000 6640.1 10763.9 10351 27755
179500 6656.3 10786.2 10392.2 27834.8
180000 6688.85 10802.5 10443.3 27934.6
180500 6697.26 10818 10502 28017.2
181000 6718.42 10843.2 10561.8 28123.4
181500 6749.44 10895.7 10618.7 28263.8
182000 6768.05 10936.7 10666.5 28371.2
182500 6798.79 10955 10711.9 28465.7
183000 6817.49 10970 10746.3 28533.8
183500 6853.41 10989.4 10784.7 28627.5
184000 6882.31 11012.9 10831 28726.1
184500 6915.76 11016.5 10863.1 28795.4
185000 6943.68 11036.2 10872.1 28852
185500 6961.44 11051.6 10898.7 28911.8
186000 6984.28 11071.1 10916.3 28971.7
186500 7010.62 11092.5 10949.7 29052.8
187000 7039.03 11121 10962.8 29122.8
187500 7060.37 11148.6 10959.7 29168.7
