# step  MSD_x  MSD_y  MSD_z  MSD_total(Angstrom^2)
# TimeStep c_msd_co2[1] c_msd_co2[2] c_msd_co2[3] c_msd_co2[4]
0 0 0 0 0
500 2.03642 2.09366 2.09086 6.22093
1000 4.54595 4.62819 4.836 14.0101
1500 7.44464 7.06141 7.60341 22.1095
2000 10.8846 9.40219 9.87337 30.1602
2500 13.685 11.9446 13.0943 38.724
3000 16.2066 14.911 16.2597 47.3773
3500 18.9419 17.2118 19.0409 55.1945
4000 22.4221 19.6459 21.1171 63.1851
4500 26.1192 22.2487 24.1002 72.4681
5000 29.3969 24.993 26.7235 81.1133
5500 32.232 27.5483 29.2601 89.0404
6000 36.2308 29.5591 32.4912 98.2811
6500 41.5477 33.5413 36.1054 111.194
7000 46.8563 36.9365 41.6398 125.433
7500 51.8675 40.8193 45.702 138.389
8000 57.9669 43.8015 49.3844 151.153
8500 63.3924 47.4307 53.1351 163.958
9000 69.923 50.9317 56.1067 176.961
9500 75.8725 53.3566 58.7721 188.001
10000 81.0094 55.7995 61.0215 197.83
10500 86.7921 59.1243 63.5017 209.418
11000 91.8235 62.6324 65.5926 220.048
11500 97.443 66.867 68.9323 233.242
12000 102.908 71.219 72.0634 246.191
12500 108.875 75.1227 75.8312 259.828
13000 115.5 79.5944 78.9101 274.004
13500 120.418 82.9832 83.0249 286.426
14000 124.298 87.4005 85.6339 297.333
14500 128.032 93.0766 88.7481 309.856
15000 131.048 96.5273 93.8632 321.438
15500 132.938 98.6089 97.755 329.302
16000 133.471 103.188 101.86 338.519
16500 135.472 108.942 105.869 350.284
17000 135.31 115.268 109.638 360.216
17500 136.673 119.89 115.517 372.08
18000 138.98 124.025 120.889 383.893
18500 141.129 128.077 124.69 393.896
19000 144.688 133.57 128.296 406.553
19500 151.592 134.957 134.837 421.386
20000 156.379 136.68 140.258 433.318
20500 162.55 140.569 144.447 447.566
21000 169.049 145.52 149.733 464.302
21500 173.597 148.604 155.169 477.37
22000 179.265 149.522 160.301 489.089
22500 186.508 152.081 167.567 506.156
23000 194.008 155.951 173.543 523.502
23500 201.565 159.51 178.197 539.272
24000 208.561 164.229 181.906 554.696
24500 215.103 170.07 185.308 570.481
25000 220.81 176.826 187.307 584.943
25500 226.176 183.186 191.542 600.903
26000 230.934 188.873 192.992 612.798
26500 235.81 192.845 193.756 622.411
27000 242.745 194.909 197.444 635.099
27500 249.291 198.27 200.918 648.479
28000 256.05 202.726 205.639 664.414
28500 263.287 207.981 210.264 681.532
29000 272.038 211.684 215.337 699.059
29500 277.764 217.494 218.895 714.153
30000 280.259 219.694 220.968 720.921
30500 285.559 223.455 225.544 734.558
31000 292.302 229.494 229.265 751.061
31500 301.646 236.726 234.238 772.61
32000 308.664 243.379 243.18 795.223
32500 316.595 247.235 249.252 813.082
33000 325.575 251.575 255.854 833.003
33500 334.042 258.658 260.463 853.163
34000 343.847 261.132 264.291 869.27
34500 350.704 265.591 268.068 884.363
35000 356.823 269.344 276.302 902.468
35500 361.75 270.758 280.817 913.325
36000 368.243 271.379 288.524 928.145
36500 374.673 275.929 294.022 944.623
37000 382.082 282.142 300.168 964.392
37500 390.425 286.439 309.897 986.761
38000 399.081 293.118 322.114 1014.31
38500 409.875 299.257 332.901 1042.03
39000 418.828 305.92 344.981 1069.73
39500 428.076 313.818 355.421 1097.31
40000 437.54 322.101 362.096 1121.74
40500 449.351 329.205 367.545 1146.1
41000 457.845 332.668 370.826 1161.34
41500 467.727 337.206 373.244 1178.18
42000 477.022 343.953 376.768 1197.74
42500 486.764 347.175 378.767 1212.71
43000 496.967 355.328 382.368 1234.66
43500 507.28 362.188 388.768 1258.24
44000 515.532 367.446 393.565 1276.54
44500 526.587 373.59 400.889 1301.07
45000 537.456 380.843 404.996 1323.29
45500 545.366 390.297 409.433 1345.1
46000 555.499 396.364 416.053 1367.92
46500 561.045 402.24 425.021 1388.31
47000 566.652 406.948 432.245 1405.84
47500 575.17 410.287 434.296 1419.75
48000 584.563 415.904 436.545 1437.01
48500 591.656 421.045 441.154 1453.85
49000 594.63 425.613 449.58 1469.82
49500 597.362 433.54 457.531 1488.43
50000 598.948 442.202 463.538 1504.69
50500 603.199 446.727 470.492 1520.42
51000 610.875 451.384 475.894 1538.15
51500 622.276 457.627 478.774 1558.68
52000 632.864 467.585 482.683 1583.13
52500 642.1 477.943 488.227 1608.27
53000 652.75 488.369 498.458 1639.58
53500 659.772 496.131 505.203 1661.11
54000 666.659 504.046 508.322 1679.03
54500 674.533 512.48 509.089 1696.1
55000 683.169 521.422 511.489 1716.08
55500 686.482 528.954 519.315 1734.75
56000 689.74 531.921 524.144 1745.81
56500 690.168 539.65 530.214 1760.03
57000 691.354 548.224 538.62 1778.2
57500 697.072 557.212 544.623 1798.91
58000 707.532 564.282 551.918 1823.73
58500 717.483 571.234 560.803 1849.52
59000 723.899 582.789 568.207 1874.89
59500 735.265 595.164 574.212 1904.64
60000 749.137 602.152 581.398 1932.69
60500 761.408 609.376 592.065 1962.85
61000 767.712 612.982 605.467 1986.16
61500 769.747 619.474 618.128 2007.35
62000 772.689 622.074 629.332 2024.1
62500 781.518 621.487 637.46 2040.46
63000 791.764 624.349 645.14 2061.25
63500 803.342 627.698 649.203 2080.24
64000 813.992 629.72 655.812 2099.52
